,activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,simplified_applicant_age_above_62,state_simplified,loant_type,debt_to_income_ratio2
4474,2021,RVDPPPGHCGZ40J4VQ731,40900.0,CA,6061.0,6061021043.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan Originated,Ginnie Mae,Preapproval not requested,3,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,415000.0,95.39,2.25,-0.47,Not a high-cost mortgage,6954.11,,4469.76,418.27,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,435000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,FICO Risk Score Classic 04,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Male,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,30.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,3403,22.83,90900,175,843.0,1033.0,21,0.0,0,Veterans Affiars guaranteed VA,
1957,2021,FT6J43S06X6CLJ0R0B48,31084.0,CA,6037.0,6037190402.0,,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,6025000.0,,4.0,,Not applicable,,,,,,1.0,,,No negative amortization,No interest-only payments,Balloon payment,No other non-fully amortizing features,8605000.0,Site-built,Investment Property,3.0,5.0,25.49,0.0,,,Not Applicable,No co-applicant,Not Applicable,,,,,Other Hispanic or Latino,,,,,Not applicable,No co-applicant,Not Applicable,,,,,No co-applicant,,,,,Not applicable,No co-applicant,Not applicable,No co-applicant,Not applicable,No co-applicant,,,,1.0,1.0,6.0,,,,,Not applicable,,,,2349,33.97,80000,39,15.0,60.0,51,,0,Conventional,
2028,2021,FT6J43S06X6CLJ0R0B48,40140.0,CA,6071.0,6071002023.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,305000.0,36.145,4.25,0.668,Not a high-cost mortgage,6207.8,,980.0,,,2.0,,60.0,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,835000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Experian Fair Isaac,Not Applicable,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Chinese,,,,,Chinese,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,40.0,40.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,6028,61.11,77500,101,786.0,1481.0,32,0.0,0,Conventional,
723,2021,549300TF1E42EUFBSL45,42220.0,CA,6097.0,6097150100.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan Originated,Not applicable,Preapproval not requested,1,Other purpose,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,215000.0,10.85,3.125,0.176,Not a high-cost mortgage,3455.25,,850.0,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,2005000.0,Site-built,Principal residence,3.0,5.0,1.0,,56.0,30%-<36%,Experian Fair Isaac,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Male,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,50.0,,,1.0,1.0,1.0,,,,,Not applicable,,,,2640,12.54,103300,132,780.0,1200.0,44,0.0,0,Conventional,0.32
1143,2021,549300TF1E42EUFBSL45,42220.0,CA,6097.0,6097151700.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,575000.0,65.0,3.125,,Not applicable,,,,,,360.0,,84.0,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,885000.0,Site-built,Investment Property,3.0,5.0,1.0,,389.0,20%-<30%,FICO Risk Score Classic 04,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Male,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,78.0,,,1.0,1.0,1.0,,,,,Not applicable,,,,6813,32.32,103300,100,1269.0,2113.0,43,1.0,0,Conventional,0.25
3366,2021,RVDPPPGHCGZ40J4VQ731,42020.0,CA,6079.0,6079012900.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,Loan Originated,Ginnie Mae,Preapproval not requested,3,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,525000.0,94.4,2.25,-0.455,Not a high-cost mortgage,3744.48,,0.0,,8415.86,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,545000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Not Applicable,FICO Risk Score Classic 04,Not Hispanic or Latino,,,,,Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,30.0,30.0,No,2.0,1.0,6.0,,,,,Not applicable,,,,5383,24.78,97800,104,1371.0,2218.0,32,0.0,0,Veterans Affiars guaranteed VA,
1974,2021,FT6J43S06X6CLJ0R0B48,31084.0,CA,6037.0,6037124300.0,,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Not applicable,Preapproval not requested,1,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,2125000.0,,4.05,,Not applicable,,,,,,1.0,,,No negative amortization,No interest-only payments,Balloon payment,No other non-fully amortizing features,3045000.0,Site-built,Investment Property,3.0,5.0,5.24,0.0,,,Not Applicable,No co-applicant,Not Applicable,,,,,Other Hispanic or Latino,,,,,Not applicable,No co-applicant,Not Applicable,,,,,No co-applicant,,,,,Not applicable,No co-applicant,Not applicable,No co-applicant,Not applicable,No co-applicant,,,,1.0,1.0,6.0,,,,,Not applicable,,,,3764,76.89,80000,93,312.0,956.0,58,,0,Conventional,
1276,2021,FT6J43S06X6CLJ0R0B48,11244.0,CA,6059.0,6059062629.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan Originated,Not applicable,Preapproval not requested,1,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,305000.0,23.81,4.375,0.6,Not a high-cost mortgage,3059.26,,880.0,,,1.0,,60.0,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1265000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Experian Fair Isaac,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Chinese,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,50.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,2779,36.6,106700,193,760.0,940.0,42,0.0,0,Conventional,
1975,2021,FT6J43S06X6CLJ0R0B48,40140.0,CA,6071.0,6071008401.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,475000.0,67.64,4.0,0.345,Not a high-cost mortgage,4054.72,,880.0,,,2.0,,36.0,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,695000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Equifax Beacon 5.0,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Chinese,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Male,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,50.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,10121,54.24,77500,136,1986.0,2957.0,34,0.0,0,Conventional,
2222,2021,D38AC76TAMYI50NBPX33,38060.0,AZ,4013.0,4013082019.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,215000.0,68.86,4.125,,Not a high-cost mortgage,,,,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,305000.0,Site-built,Investment Property,3.0,5.0,1.0,,311.0,<20%,Equifax Beacon 5.0,FICO Risk Score Classic 04,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not applicable,Not applicable,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not applicable,Not applicable,Information not provided by applicant in mail internet or telephone application,Female,Not applicable,Not applicable,50.0,50.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,2469,47.31,79000,134,561.0,848.0,23,0.0,1,Conventional,0.1
630,2021,549300TF1E42EUFBSL45,41884.0,CA,6081.0,6081609603.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,1605000.0,53.333,2.875,-0.204,Not a high-cost mortgage,2684.25,,850.0,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,3005000.0,Site-built,Principal residence,3.0,5.0,1.0,,669.0,37,Experian Fair Isaac,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Male,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,50.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,5335,27.99,145400,167,1786.0,1873.0,46,0.0,0,Conventional,0.37
926,2021,549300TF1E42EUFBSL45,31084.0,CA,6037.0,6037115201.0,,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,5225000.0,74.64,3.25,,Not applicable,,,,,,180.0,,84.0,No negative amortization,No interest-only payments,Balloon payment,No other non-fully amortizing features,7005000.0,Site-built,Investment Property,3.0,5.0,25.49,0.0,,,Not Applicable,No co-applicant,Not Applicable,,,,,Other Hispanic or Latino,,,,,Not applicable,No co-applicant,Not Applicable,,,,,No co-applicant,,,,,Not applicable,No co-applicant,Not applicable,No co-applicant,Not applicable,No co-applicant,,,,2.0,1.0,6.0,,,,,Not applicable,,,,6679,57.18,80000,100,707.0,780.0,33,,0,Conventional,
3149,2021,RVDPPPGHCGZ40J4VQ731,36084.0,CA,6013.0,6013343003.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,Loan Originated,Freddie Mac,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,725000.0,52.74,2.625,-0.121,Not a high-cost mortgage,2877.0,,969.0,,3357.21,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1375000.0,Site-built,Principal residence,3.0,5.0,1.0,,170.0,30%-<36%,Not Applicable,FICO Risk Score Classic 04,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,50.0,50.0,No,2.0,1.0,1.0,,,,,Not applicable,,,,4023,16.48,125600,158,1142.0,1386.0,51,0.0,0,Conventional,0.32
1986,2021,FT6J43S06X6CLJ0R0B48,36084.0,CA,6001.0,6001433103.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan Originated,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,405000.0,43.805,4.125,,Not applicable,,,,,,1.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,925000.0,Site-built,Investment Property,3.0,5.0,2.0,,,,Equifax Beacon 5.0,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Chinese,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Male,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,60.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,4147,88.76,125600,57,387.0,781.0,45,0.0,0,Conventional,
2159,2021,D38AC76TAMYI50NBPX33,46060.0,AZ,4019.0,4019004010.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,125000.0,54.48,3.125,0.413,Not a high-cost mortgage,3186.7,,1950.7,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,225000.0,Site-built,Principal residence,3.0,5.0,1.0,,69.0,30%-<36%,Equifax Beacon 5.0,Experian Fair Isaac,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not applicable,Not applicable,Black or African American,,,,,Black or African American,,,,,Not applicable,Not applicable,Male,Female,Not applicable,Not applicable,70.0,70.0,Yes,1.0,1.0,6.0,,,,,Not applicable,,,,3006,35.26,68600,79,708.0,1022.0,44,1.0,1,Conventional,0.32
3017,2021,RVDPPPGHCGZ40J4VQ731,41940.0,CA,6085.0,6085504202.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan Originated,Freddie Mac,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,465000.0,46.6,2.37,-0.406,Not a high-cost mortgage,7057.0,,5629.0,,1244.22,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1005000.0,Site-built,Principal residence,3.0,5.0,1.0,,287.0,30%-<36%,Equifax Beacon 5.0,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,60.0,,,2.0,1.0,2.0,,,,,Not applicable,,,,4884,63.41,148700,128,1197.0,1554.0,43,0.0,0,Conventional,0.32
3921,2021,RVDPPPGHCGZ40J4VQ731,40140.0,CA,6071.0,6071009908.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan Originated,Ginnie Mae,Preapproval not requested,2,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,205000.0,80.9,2.625,0.486,Not a high-cost mortgage,4539.3,,100.0,,2267.06,288.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,255000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,FICO Risk Score Classic 04,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,60.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,4824,66.19,77500,84,873.0,1465.0,28,0.0,0,Federal Housing Administration FHA,
517,2021,549300TF1E42EUFBSL45,34900.0,CA,6055.0,6055200400.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,355000.0,31.818,2.375,0.143,Not a high-cost mortgage,2770.25,,850.0,,,180.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1105000.0,Site-built,Principal residence,3.0,5.0,1.0,,169.0,20%-<30%,Experian Fair Isaac,Not Applicable,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,70.0,70.0,Yes,1.0,1.0,1.0,,,,,Not applicable,,,,3902,28.91,101500,131,880.0,1547.0,58,1.0,0,Conventional,0.25
2915,2021,RVDPPPGHCGZ40J4VQ731,40140.0,CA,6065.0,6065042003.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,Loan Originated,Ginnie Mae,Preapproval not requested,3,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,495000.0,84.23,2.25,-0.536,Not a high-cost mortgage,4090.85,,2821.35,2821.35,106.99,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,775000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Not Applicable,Experian Fair Isaac,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,50.0,50.0,No,2.0,1.0,6.0,,,,,Not applicable,,,,6012,50.23,77500,168,1407.0,1816.0,26,0.0,0,Veterans Affiars guaranteed VA,
3551,2021,RVDPPPGHCGZ40J4VQ731,11244.0,CA,6059.0,6059032035.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Fannie Mae,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,445000.0,68.08,2.75,0.028,Not a high-cost mortgage,2487.22,,969.0,,4429.48,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,655000.0,Site-built,Principal residence,3.0,5.0,1.0,,119.0,30%-<36%,Experian Fair Isaac,No co-applicant,Info not provided by applicant in mail internet or telephone appplication,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Info not provided by applicant in mail internet or telephone appplication,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Information not provided by applicant in mail internet or telephone application,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,78.0,,,2.0,1.0,1.0,,,,,Not applicable,,,,2429,28.24,106700,129,788.0,930.0,35,1.0,0,Conventional,0.32
1111,2021,549300TF1E42EUFBSL45,41500.0,CA,6053.0,6053011602.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,655000.0,42.208,2.0,-0.164,Not a high-cost mortgage,3388.25,,850.0,,450.0,180.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1545000.0,Site-built,Principal residence,3.0,5.0,1.0,,348.0,<20%,Not Applicable,Equifax Beacon 5.0,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,70.0,60.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,5936,10.85,80900,201,1749.0,2381.0,42,1.0,0,Conventional,0.1
3667,2021,RVDPPPGHCGZ40J4VQ731,36084.0,CA,6001.0,6001441522.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Loan Originated,Freddie Mac,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,485000.0,55.81,2.75,0.078,Not a high-cost mortgage,1968.75,,969.0,,3523.2,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,865000.0,Site-built,Principal residence,3.0,5.0,1.0,,166.0,<20%,Experian Fair Isaac,No co-applicant,Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,70.0,,,2.0,1.0,1.0,,,,,Not applicable,,,,5368,77.73999999999998,125600,116,1154.0,1470.0,40,1.0,0,Conventional,0.1
1929,2021,FT6J43S06X6CLJ0R0B48,36084.0,CA,6001.0,6001406000.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,1105000.0,,3.95,,Not applicable,,,,,,1.0,,,No negative amortization,No interest-only payments,Balloon payment,No other non-fully amortizing features,1605000.0,Site-built,Investment Property,3.0,5.0,4.0,,,,Equifax Beacon 5.0,Equifax Beacon 5.0,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Collected on the basis of visual observation or surname,Collected on the basis of visual observation or surname,Asian,,,,,Asian,,,,,Collected on the basis of visual observation or surname,Collected on the basis of visual observation or surname,Female,Male,Collected on the basis of visual observation or surname,Collected on the basis of visual observation or surname,70.0,40.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,3472,78.01999999999998,125600,22,138.0,441.0,53,1.0,0,Conventional,
607,2021,549300TF1E42EUFBSL45,42020.0,CA,6079.0,6079010300.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,395000.0,65.0,3.375,0.268,Not a high-cost mortgage,2688.95,,850.0,,450.0,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,615000.0,Site-built,Principal residence,3.0,5.0,1.0,,127.0,36,Not Applicable,Equifax Beacon 5.0,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,70.0,70.0,Yes,1.0,1.0,1.0,,,,,Not applicable,,,,9381,26.13,97800,116,2771.0,3961.0,26,1.0,0,Conventional,0.36
4416,2021,RVDPPPGHCGZ40J4VQ731,40900.0,CA,6067.0,6067008145.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan Originated,Ginnie Mae,Preapproval not requested,2,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,345000.0,95.65,2.625,0.78,Not a high-cost mortgage,6837.97,,100.0,,2163.51,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,355000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,FICO Risk Score Classic 04,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,40.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,8112,19.46,90900,110,1981.0,2662.0,40,0.0,0,Federal Housing Administration FHA,
